user_id,upn,mfa_enrolled,method,enrolled_on
u-0040,omar.masson@asteria.invalid,true,totp,2026-01-20
u-0041,noah.bernard@asteria.invalid,true,fido2,2026-01-20
u-0042,lucas.nakamura@asteria.invalid,true,totp,2026-01-20
u-0043,george.hoffmann@asteria.invalid,true,fido2,2026-01-20
u-0044,kenji.moreau@asteria.invalid,true,fido2,2026-01-20
u-0045,emma.costa@asteria.invalid,true,totp,2026-01-20
u-0046,aisha.bouchard@asteria.invalid,true,fido2,2026-01-20
u-0047,oscar.bergman@asteria.invalid,true,fido2,2026-01-20
u-0048,marie.costa@asteria.invalid,true,fido2,2026-01-20
u-0049,ethan.ellery@asteria.invalid,true,totp,2026-01-20
u-0050,arjun.masson@asteria.invalid,true,fido2,2026-01-20
u-0051,zoe.whitfield@asteria.invalid,true,fido2,2026-01-20
u-0052,ruby.weber@asteria.invalid,true,fido2,2026-01-20
u-0053,yuki.fontaine@asteria.invalid,true,totp,2026-01-20
u-0055,felix.rossi@asteria.invalid,true,fido2,2026-01-20
u-0056,nora.moreau@asteria.invalid,true,fido2,2026-01-20
u-0057,felix.okafor@asteria.invalid,true,totp,2026-01-20
u-0058,jonas.kaiser@asteria.invalid,true,fido2,2026-01-20
u-0059,lena.weber@asteria.invalid,true,totp,2026-01-20
u-0060,lina.hartley@asteria.invalid,true,fido2,2026-01-20
u-0061,zoe.chevalier@asteria.invalid,true,fido2,2026-01-20
u-0062,elias.brandt@asteria.invalid,true,totp,2026-01-20
u-0063,ethan.carlisle@asteria.invalid,true,fido2,2026-01-20
u-0064,isla.weber@asteria.invalid,true,fido2,2026-01-20
u-0065,lucas.hoffmann@asteria.invalid,true,fido2,2026-01-20
u-0066,sana.robin@asteria.invalid,true,fido2,2026-01-20
u-0067,ines.larkin@asteria.invalid,true,fido2,2026-01-20
u-0068,gabriel.masson@asteria.invalid,true,totp,2026-01-20
u-0069,rohan.ashcroft@asteria.invalid,true,totp,2026-01-20
u-0070,hugo.fontaine@asteria.invalid,true,totp,2026-01-20
u-0071,nadia.bernard@asteria.invalid,true,fido2,2026-01-20
u-0072,mathis.kaiser@asteria.invalid,true,fido2,2026-01-20
u-0073,leo.pemberton@asteria.invalid,true,fido2,2026-01-20
u-0074,priya.bernard@asteria.invalid,true,fido2,2026-01-20
u-0075,ines.kaiser@asteria.invalid,true,totp,2026-01-20
u-0076,owen.hoffmann@asteria.invalid,true,totp,2026-01-20
u-0078,rohan.kowalski@asteria.invalid,true,fido2,2026-01-20
u-0079,caleb.bernard@asteria.invalid,true,fido2,2026-01-20
u-0080,anna.lefevre@asteria.invalid,true,fido2,2026-01-20
u-0081,ines.ferreira@asteria.invalid,true,fido2,2026-01-20
u-0082,emma.nakamura@asteria.invalid,true,totp,2026-01-20
u-0083,harry.costa@asteria.invalid,true,totp,2026-01-20
u-0084,tariq.moreau@asteria.invalid,true,fido2,2026-01-20
u-0085,felix.ellery@asteria.invalid,true,fido2,2026-01-20
u-0086,jade.masson@asteria.invalid,true,fido2,2026-01-20
u-0087,nathan.raman@asteria.invalid,true,fido2,2026-01-20
u-0088,isla.ellery@asteria.invalid,true,totp,2026-01-20
u-0089,jonas.larsen@asteria.invalid,true,fido2,2026-01-20
u-0090,rohan.novak@asteria.invalid,true,totp,2026-01-20
u-0091,harry.adeyemi@asteria.invalid,true,fido2,2026-01-20
u-0092,lucas.brandt@asteria.invalid,true,totp,2026-01-20
u-0093,jade.girard@asteria.invalid,true,fido2,2026-01-20
u-0094,jade.bouchard@asteria.invalid,true,fido2,2026-01-20
u-0095,ruby.hoffmann@asteria.invalid,true,fido2,2026-01-20
u-0096,rohan.nakamura@asteria.invalid,true,fido2,2026-01-20
u-0097,isaac.bouchard@asteria.invalid,true,fido2,2026-01-20
u-0098,olivia.bergman@asteria.invalid,true,fido2,2026-01-20
u-0099,emma.bouchard@asteria.invalid,true,fido2,2026-01-20
u-0100,lena.moreau@asteria.invalid,true,fido2,2026-01-20
u-0101,marie.robin@asteria.invalid,true,fido2,2026-01-20
u-0102,ava.haddad@asteria.invalid,true,totp,2026-01-20
u-0103,caleb.okafor@asteria.invalid,true,fido2,2026-01-20
u-0104,nadia.ellery@asteria.invalid,true,fido2,2026-01-20
u-0105,tariq.whitfield@asteria.invalid,true,fido2,2026-01-20
u-0106,nora.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0107,noah.lorenz@asteria.invalid,true,fido2,2026-01-20
u-0108,isla.brandt@asteria.invalid,true,fido2,2026-01-20
u-0109,marie.ellery@asteria.invalid,true,fido2,2026-01-20
u-0110,olivia.raman@asteria.invalid,true,fido2,2026-01-20
u-0112,sofia.pemberton@asteria.invalid,true,totp,2026-01-20
u-0113,jonas.whitfield@asteria.invalid,true,totp,2026-01-20
u-0114,mia.schulz@asteria.invalid,true,fido2,2026-01-20
u-0115,isaac.ferreira@asteria.invalid,true,fido2,2026-01-20
u-0116,emma.schulz@asteria.invalid,true,totp,2026-01-20
u-0117,isla.robin@asteria.invalid,true,totp,2026-01-20
u-0118,grace.hartley@asteria.invalid,true,fido2,2026-01-20
u-0119,owen.okafor@asteria.invalid,true,fido2,2026-01-20
u-0120,isaac.haddad@asteria.invalid,true,fido2,2026-01-20
u-0121,emma.girard@asteria.invalid,true,totp,2026-01-20
u-0122,lucas.hartley@asteria.invalid,true,fido2,2026-01-20
u-0123,george.fontaine@asteria.invalid,true,totp,2026-01-20
u-0124,louis.haddad@asteria.invalid,true,fido2,2026-01-20
u-0125,amelie.nakamura@asteria.invalid,true,fido2,2026-01-20
u-0126,hugo.bergman@asteria.invalid,true,fido2,2026-01-20
u-0127,rohan.larkin@asteria.invalid,true,totp,2026-01-20
u-0128,liam.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0129,owen.girard@asteria.invalid,true,totp,2026-01-20
u-0130,owen.sato@asteria.invalid,true,fido2,2026-01-20
u-0131,isla.pemberton@asteria.invalid,true,totp,2026-01-20
u-0132,sana.lorenz@asteria.invalid,true,fido2,2026-01-20
u-0134,arjun.okafor@asteria.invalid,true,totp,2026-01-20
u-0135,george.moreau@asteria.invalid,true,fido2,2026-01-20
u-0136,paul.kowalski@asteria.invalid,true,fido2,2026-01-20
u-0137,jade.hartley@asteria.invalid,true,totp,2026-01-20
u-0140,elias.ashcroft@asteria.invalid,true,fido2,2026-01-20
u-0141,yuki.novak@asteria.invalid,true,fido2,2026-01-20
u-0142,priya.masson@asteria.invalid,true,fido2,2026-01-20
u-0143,ines.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0144,amelia.weber@asteria.invalid,true,totp,2026-01-20
u-0145,maya.weber@asteria.invalid,true,fido2,2026-01-20
u-0146,amelie.pemberton@asteria.invalid,true,fido2,2026-01-20
u-0147,nora.lorenz@asteria.invalid,true,fido2,2026-01-20
u-0149,ava.costa@asteria.invalid,true,fido2,2026-01-20
u-0150,olivia.lorenz@asteria.invalid,true,totp,2026-01-20
u-0151,louis.schulz@asteria.invalid,true,totp,2026-01-20
u-0152,arjun.brandt@asteria.invalid,true,fido2,2026-01-20
u-0153,harry.carlisle@asteria.invalid,true,totp,2026-01-20
u-0154,nora.bergman@asteria.invalid,true,fido2,2026-01-20
u-0156,olivia.adeyemi@asteria.invalid,true,totp,2026-01-20
u-0157,aisha.beaumont@asteria.invalid,true,fido2,2026-01-20
u-0158,ruby.nakamura@asteria.invalid,true,fido2,2026-01-20
u-0159,amelie.iyer@asteria.invalid,true,totp,2026-01-20
u-0160,jade.sato@asteria.invalid,true,fido2,2026-01-20
u-0161,leo.iyer@asteria.invalid,true,totp,2026-01-20
u-0162,zoe.iyer@asteria.invalid,true,totp,2026-01-20
u-0163,nadia.hartley@asteria.invalid,true,fido2,2026-01-20
u-0164,omar.raman@asteria.invalid,true,fido2,2026-01-20
u-0167,zoe.brandt@asteria.invalid,true,totp,2026-01-20
u-0170,isla.moreau@asteria.invalid,true,totp,2026-01-20
u-0171,hugo.hartley@asteria.invalid,true,fido2,2026-01-20
u-0172,jonas.bouchard@asteria.invalid,true,totp,2026-01-20
u-0173,sofia.bianchi@asteria.invalid,true,fido2,2026-01-20
u-0174,tariq.hoffmann@asteria.invalid,true,fido2,2026-01-20
u-0175,caleb.bergman@asteria.invalid,true,totp,2026-01-20
u-0176,anna.moreau@asteria.invalid,true,fido2,2026-01-20
u-0177,aisha.haddad@asteria.invalid,true,fido2,2026-01-20
u-0178,felix.iyer@asteria.invalid,true,fido2,2026-01-20
u-0179,nadia.carlisle@asteria.invalid,true,totp,2026-01-20
u-0180,oscar.beaumont@asteria.invalid,true,fido2,2026-01-20
u-0181,isaac.sommer@asteria.invalid,true,fido2,2026-01-20
u-0182,felix.costa@asteria.invalid,true,fido2,2026-01-20
u-0183,anna.bernard@asteria.invalid,true,fido2,2026-01-20
u-0184,grace.bergman@asteria.invalid,true,fido2,2026-01-20
u-0185,caleb.raman@asteria.invalid,true,totp,2026-01-20
u-0186,leo.robin@asteria.invalid,true,fido2,2026-01-20
u-0188,mathis.bernard@asteria.invalid,true,fido2,2026-01-20
u-0189,gabriel.fontaine@asteria.invalid,true,totp,2026-01-20
u-0190,harry.pemberton@asteria.invalid,true,fido2,2026-01-20
u-0191,lena.bergman@asteria.invalid,true,totp,2026-01-20
u-0192,ethan.raman@asteria.invalid,true,fido2,2026-01-20
u-0193,kenji.bouchard@asteria.invalid,true,totp,2026-01-20
u-0194,jade.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0196,gabriel.sommer@asteria.invalid,true,fido2,2026-01-20
u-0197,nora.robin@asteria.invalid,true,fido2,2026-01-20
u-0198,mia.kaiser@asteria.invalid,true,fido2,2026-01-20
u-0199,hugo.weber@asteria.invalid,true,fido2,2026-01-20
u-0200,hugo.brandt@asteria.invalid,true,totp,2026-01-20
u-0201,isla.bianchi@asteria.invalid,true,fido2,2026-01-20
u-0202,george.okafor@asteria.invalid,true,fido2,2026-01-20
u-0203,emma.larsen@asteria.invalid,true,fido2,2026-01-20
u-0204,leo.hartley@asteria.invalid,true,fido2,2026-01-20
u-0205,maya.carlisle@asteria.invalid,true,fido2,2026-01-20
u-0206,rohan.sommer@asteria.invalid,true,fido2,2026-01-20
u-0207,george.schulz@asteria.invalid,true,totp,2026-01-20
u-0208,gabriel.kuhn@asteria.invalid,true,totp,2026-01-20
u-0209,ruby.larkin@asteria.invalid,true,fido2,2026-01-20
u-0210,paul.ferreira@asteria.invalid,true,totp,2026-01-20
u-0211,chloe.adeyemi@asteria.invalid,true,fido2,2026-01-20
u-0212,hugo.bianchi@asteria.invalid,true,fido2,2026-01-20
u-0213,anna.brandt@asteria.invalid,true,fido2,2026-01-20
u-0214,amelia.bernard@asteria.invalid,true,fido2,2026-01-20
u-0215,owen.chevalier@asteria.invalid,true,totp,2026-01-20
u-0216,marie.kaiser@asteria.invalid,true,fido2,2026-01-20
u-0217,maya.chevalier@asteria.invalid,true,fido2,2026-01-20
u-0218,kenji.fontaine@asteria.invalid,true,totp,2026-01-20
u-0219,paul.bernard@asteria.invalid,true,fido2,2026-01-20
u-0220,kenji.hartley@asteria.invalid,true,fido2,2026-01-20
u-0221,yuki.haddad@asteria.invalid,true,totp,2026-01-20
u-0222,zoe.moreau@asteria.invalid,true,totp,2026-01-20
u-0223,kenji.masson@asteria.invalid,true,fido2,2026-01-20
u-0224,louis.hartley@asteria.invalid,true,fido2,2026-01-20
u-0225,mathis.whitfield@asteria.invalid,true,totp,2026-01-20
u-0226,owen.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0227,ruby.larsen@asteria.invalid,true,fido2,2026-01-20
u-0228,yuki.kuhn@asteria.invalid,true,fido2,2026-01-20
u-0229,nadia.kaiser@asteria.invalid,true,totp,2026-01-20
u-0230,gabriel.raman@asteria.invalid,true,fido2,2026-01-20
u-0231,louis.moreau@asteria.invalid,true,totp,2026-01-20
u-0232,zoe.kuhn@asteria.invalid,true,fido2,2026-01-20
u-0233,kenji.schulz@asteria.invalid,true,totp,2026-01-20
u-0234,isaac.lefevre@asteria.invalid,true,fido2,2026-01-20
u-0235,arjun.fontaine@asteria.invalid,true,fido2,2026-01-20
u-0236,maya.costa@asteria.invalid,true,fido2,2026-01-20
u-0237,elias.larkin@asteria.invalid,true,fido2,2026-01-20
u-0238,isla.beaumont@asteria.invalid,true,totp,2026-01-20
u-0239,sofia.rossi@asteria.invalid,true,fido2,2026-01-20
u-0240,george.sato@asteria.invalid,true,fido2,2026-01-20
c-0001,priya.weber@contractor.asteria.invalid,true,fido2,2026-01-20
c-0002,maya.kuhn@contractor.asteria.invalid,true,fido2,2026-01-20
c-0004,ava.iyer@contractor.asteria.invalid,true,totp,2026-01-20
c-0005,sana.larkin@contractor.asteria.invalid,true,fido2,2026-01-20
c-0006,priya.brandt@contractor.asteria.invalid,true,fido2,2026-01-20
c-0007,anna.okafor@contractor.asteria.invalid,true,totp,2026-01-20
c-0008,lucas.brandt@contractor.asteria.invalid,true,totp,2026-01-20
c-0009,kenji.girard@contractor.asteria.invalid,true,totp,2026-01-20
c-0010,liam.sommer@contractor.asteria.invalid,true,fido2,2026-01-20
c-0011,lena.haddad@contractor.asteria.invalid,true,totp,2026-01-20
c-0012,mathis.girard@contractor.asteria.invalid,true,fido2,2026-01-20
c-0013,sana.pemberton@contractor.asteria.invalid,true,fido2,2026-01-20
c-0014,lucas.pemberton@contractor.asteria.invalid,true,fido2,2026-01-20
