group,member_user_id,member_principal,added_on,review_owner
grp-support-readonly,u-0013,ines.robin@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0044,kenji.moreau@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0197,nora.robin@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0240,george.sato@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0142,priya.masson@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0133,lina.whitfield@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0207,george.schulz@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0222,zoe.moreau@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0027,omar.chevalier@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0089,jonas.larsen@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0155,ines.hartley@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0097,isaac.bouchard@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
grp-support-readonly,u-0224,louis.hartley@asteria.invalid,2026-02-11,vp-cs@asteria.invalid
